t,pos,reward,action,layer_outputs
0,4.727377937984167,-4.727377937984167,-1,"[-0.39748823642730713, -0.5108057260513306, -0.007584369741380215, -0.4288870692253113, -0.2024889588356018, -0.5054342150688171]"
1,5.036920112420166,-5.036920112420166,1,"[0.2835705876350403, -0.48139554262161255, -0.12986603379249573, 0.28178587555885315, 0.1069207638502121, -0.3004412353038788]"
2,4.735003715653623,-4.735003715653623,-1,"[-0.37731412053108215, 0.025826774537563324, 0.06618320941925049, -0.3761036694049835, -0.19994182884693146, 0.26395463943481445]"
3,5.059591414989001,-5.059591414989001,1,"[0.2872646152973175, -0.14160682260990143, -0.17661720514297485, 0.28711286187171936, 0.13050948083400726, -0.3707221448421478]"
4,4.757919169123818,-4.757919169123818,-1,"[-0.3749270737171173, 0.11453308165073395, 0.1478443145751953, -0.374945729970932, -0.21116159856319427, 0.31141752004623413]"
5,5.087076743612902,-5.087076743612902,1,"[0.28680551052093506, -0.24090656638145447, -0.26838916540145874, 0.28700998425483704, 0.1402251273393631, -0.40891632437705994]"
6,4.80929186373213,-4.80929186373213,-1,"[-0.37553271651268005, 0.23532208800315857, 0.2531772255897522, -0.37582966685295105, -0.21980400383472443, 0.32741257548332214]"
7,5.110780092041547,-5.110780092041547,1,"[0.2938297390937805, -0.35905447602272034, -0.37050771713256836, 0.2941031754016876, 0.1551753729581833, -0.42510300874710083]"
8,4.8283493346955995,-4.8283493346955995,-1,"[-0.3860757648944855, 0.327949583530426, 0.3283180892467499, -0.38639482855796814, -0.24293005466461182, 0.3386783003807068]"
9,5.1178283294617195,-5.1178283294617195,1,"[0.297434538602829, -0.4276728332042694, -0.4264080822467804, 0.2976824939250946, 0.17985352873802185, -0.43567484617233276]"
10,4.803567105667254,-4.803567105667254,-1,"[-0.39034503698349, 0.3393823504447937, 0.3365689218044281, -0.3906330466270447, -0.27258923649787903, 0.3404995799064636]"
11,5.09542233151285,-5.09542233151285,1,"[0.28764450550079346, -0.4353843331336975, -0.43244728446006775, 0.2878999412059784, 0.19677376747131348, -0.43834641575813293]"
12,4.801234410057466,-4.801234410057466,-1,"[-0.3761844336986542, 0.3314100503921509, 0.32986530661582947, -0.376507431268692, -0.2818896174430847, 0.33503061532974243]"
13,5.1047767256725365,-5.1047767256725365,1,"[0.2767043113708496, -0.4309978187084198, -0.4286970794200897, 0.2770141363143921, 0.19931049644947052, -0.43523186445236206]"
14,4.779201004661455,-4.779201004661455,-1,"[-0.3631111681461334, 0.34092533588409424, 0.3386274576187134, -0.36351415514945984, -0.27749428153038025, 0.34415435791015625]"
15,5.042485575664031,-5.042485575664031,1,"[0.2589248716831207, -0.437976211309433, -0.43535250425338745, 0.25935444235801697, 0.17825786769390106, -0.4418949484825134]"
16,4.7104881343459795,-4.7104881343459795,-1,"[-0.3402691185474396, 0.3228735625743866, 0.32169368863105774, -0.3408026099205017, -0.2477499097585678, 0.32477104663848877]"
17,4.992249816465384,-4.992249816465384,1,"[0.2140095829963684, -0.4241611063480377, -0.42166441679000854, 0.21464219689369202, 0.11058754473924637, -0.4281628429889679]"
18,4.707004109060228,-4.707004109060228,-1,"[-0.27456241846084595, 0.3213135600090027, 0.31881123781204224, -0.27545422315597534, -0.1384505033493042, 0.3252277076244354]"
19,4.69291309076161,-4.69291309076161,0,"[0.15214073657989502, -0.41974371671676636, -0.41662782430648804, 0.15334030985832214, -0.04230479896068573, -0.424613893032074]"
20,4.392269888146591,-4.392269888146591,-1,"[-0.244369775056839, 0.21757838129997253, 0.2202243059873581, -0.24540793895721436, -0.07088901102542877, 0.21267133951187134]"
21,4.429662726799246,-4.429662726799246,0,"[-0.004514575470238924, -0.3220295011997223, -0.31961923837661743, -0.0030832262709736824, -0.16273248195648193, -0.3257911801338196]"
22,4.4342111165818805,-4.4342111165818805,0,"[-0.07184157520532608, 0.1307746171951294, 0.12920211255550385, -0.0728207677602768, 0.04895354062318802, 0.13326914608478546]"
23,4.425579605374098,-4.425579605374098,0,"[-0.036105480045080185, -0.17530597746372223, -0.17426376044750214, -0.035383984446525574, -0.11706233024597168, -0.17695198953151703]"
24,4.439945679312933,-4.439945679312933,0,"[-0.06809408217668533, 0.03951767086982727, 0.03904029354453087, -0.06857473403215408, -0.00781990960240364, 0.040234874933958054]"
25,4.451242139497647,-4.451242139497647,0,"[-0.03293022885918617, -0.10640514642000198, -0.10652542859315872, -0.032592784613370895, -0.07426925748586655, -0.10614343732595444]"
26,4.436065015070886,-4.436065015070886,0,"[-0.059542182832956314, -0.002579018007963896, -0.0029164256993681192, -0.059799451380968094, -0.0277896448969841, -0.0020590629428625107]"
27,4.448627498261385,-4.448627498261385,0,"[-0.05465608835220337, -0.09339077770709991, -0.09269537776708603, -0.0544448159635067, -0.07797528803348541, -0.09453029185533524]"
28,4.424222699938273,-4.424222699938273,0,"[-0.04260476306080818, -0.012391379103064537, -0.013435207307338715, -0.042782727628946304, -0.02373638190329075, -0.010651363991200924]"
29,4.445624116314713,-4.445624116314713,0,"[-0.0727362409234047, -0.09254347532987595, -0.09110317379236221, -0.07257774472236633, -0.08695878088474274, -0.09494812786579132]"
30,4.435399580146703,-4.435399580146703,0,"[-0.023039713501930237, -0.007351158652454615, -0.009343910962343216, -0.023199353367090225, -0.010083393193781376, -0.003988900687545538]"
31,4.430112844083857,-4.430112844083857,0,"[-0.07829991728067398, -0.08851512521505356, -0.08690568804740906, -0.0781785175204277, -0.08747589588165283, -0.09121166169643402]"
32,4.464904701490912,-4.464904701490912,0,"[-0.03626756742596626, -0.028410544618964195, -0.029462136328220367, -0.03635093569755554, -0.02963848225772381, -0.026643123477697372]"
33,4.468802912092512,-4.468802912092512,0,"[-0.03959956020116806, -0.0455208383500576, -0.04599035903811455, -0.039594728499650955, -0.04191702976822853, -0.04471978917717934]"
